Parameter,Predicted value,Updated value,Potential value,Pearson r,A/CO2 change (%),A/light change (%)
GLYK Km (ATP),0.2339282,0.2412879467010498,1.6619576215744019,0.9224384127033692,-0.12-0.15,-1.04-0.01
HexP synthesis Km (HexP),0.73654276,0.7290406823158264,0.09057839959859848,-0.8931113257560437,-0.00-0.13,-1.21--0.00
ATPS [MC] Km (Pi),0.27163202,0.2812228500843048,1.5902220010757446,0.8760422480126899,-0.01-0.16,-0.01-0.79
TKT Km (E4P),0.08917231,0.09009445458650589,0.9673998951911926,0.878382713626504,-0.00-0.01,-0.00-0.01
NADP-MDH Vmax,0.08972684,0.09762401133775711,0.6444689035415649,0.9680748388748233,0.04-0.58,-11.13-0.26
ATPS [MC] Vmax,0.25317642,0.2695332169532776,2.157618761062622,0.9115501771119413,-0.00-0.00,-0.00-0.00
GDH Km (GLY),5.346406,4.958990097045898,0.6472788453102112,-0.5235557893236197,-0.00-0.13,-0.00-0.04
GGAT Ki (GLY),1.837446,1.753092885017395,0.20797395706176758,-0.5113593802765275,-0.00-0.01,-0.04-0.00
DiT1 Vmax (MAL),0.13149367,0.12480750679969788,0.017571711912751198,-0.5545284798489019,-0.04-0.21,-0.00-0.46
GCEA transport Km (GCEA),0.34458074,0.3681252896785736,3.1834216117858887,0.4377821554470605,-0.08-0.18,-0.83-0.00
GGAT Km (GLU),1.648061,1.7296706438064575,16.356754302978516,0.49053411607018255,-0.00-0.09,-0.00-0.48
FKFBP Ki (Pi),4.302978,4.149633884429932,0.7323071956634521,-0.4506323762962481,-0.00-0.20,0.00-1.15
PPDK Km (ATP),0.08529412,0.09846366941928864,1.1632734537124634,0.45958940455562936,-0.16-0.15,-1.62-0.01
PPDK Ki (PEP),0.11092172,0.10369221121072769,0.018645258620381355,-0.49575279440281156,-0.06-0.25,-0.06-0.50
FBPase [cyt] Vmax,0.0055711064,0.005204223096370697,0.0009577118325978518,-0.3902579051289889,-0.00-0.12,-0.00-5.36
ATPS [MC] Q32,0.4955109,0.3418859839439392,0.20368096232414246,-0.5844466765505973,-4.24-0.20,-3.02-11.57
mit. respiration,0.9346266,0.6936888098716736,0.36162784695625305,-0.36751261963302484,0.29-1.66,0.29-206.51
FNR [BC] Km (NADPH),0.04874374,0.04699406400322914,0.007161938585340977,-0.6158842501807165,0.00-0.00,0.00-0.00
